Bank,Branch,BIC
ABSA BANK KENYA PLC,HEAD-OFFICE,BARCKENX
ACCESS BANK (KENYA) PLC,HEAD-OFFICE,ABNGKENA
AFRICAN BANKING CORPORATION LTD,HEAD-OFFICE,ABCLKENA
BANK OF AFRICA KENYA LTD,HEAD-OFFICE,AFRIKENX
BANK OF BARODA (KENYA) LTD,HEAD-OFFICE,BARBKENA
BANK OF INDIA,HEAD-OFFICE,BKIDKENA
CARITAS MICROFINANCE BANK LIMITED,HEAD-OFFICE,CRMFKENA
CENTRAL BANK OF KENYA,HEAD-OFFICE,CBKEKENB
CENTRAL BANK OF KENYA,HEAD-OFFICE,CBKEKENX
CENTRAL DEPOSITORY AND SETTLEMENT CORPORATION,HEAD-OFFICE,CDSNKENA
CITIBANK N.A. NAIROBI,HEAD-OFFICE,CITIKENA
CONSOLIDATED BANK OF KENYA LTD,HEAD-OFFICE,CONKKENA
CREDIT BANK LIMITED,HEAD-OFFICE,CRBTKENA
DEVELOPMENT BANK OF KENYA LIMITED,HEAD-OFFICE,DEVKKENA
DIB BANK KENYA LTD,HEAD-OFFICE,DUIBKENA
EASTERN AND SOUTHERN AFRICAN TRADE AND DEVELOPMENTBANK,HEAD-OFFICE,ESATKENA
ECOBANK KENYA LTD,HEAD-OFFICE,ECOCKENA
EQUITY BANK (KENYA) LIMITED,HEAD-OFFICE,EQBLKENA
FAMILY BANK LIMITED,HEAD-OFFICE,FABLKENA
FIRST COMMUNITY BANK LIMITED,HEAD-OFFICE,IFCBKENA
GUARANTY TRUST BANK (KENYA) LTD,HEAD-OFFICE,GTBIKENA
GUARDIAN BANK LIMITED,HEAD-OFFICE,GUARKENA
GULF AFRICAN BANK LTD,HEAD-OFFICE,GAFRKENA
HABIB BANK AG ZURICH,HEAD-OFFICE,HBZUKENA
HFC LIMITED,HEAD-OFFICE,HFCOKENA
I AND M BANK LTD,HEAD-OFFICE,IMBLKENA
KCB BANK KENYA LIMITED,HEAD-OFFICE,KCBLKENXTFS
KCB BANK KENYA LIMITED,HEAD-OFFICE,KCBLKENXCUS
KENYA WOMEN MICROFINANCE BANK,HEAD-OFFICE,KWMIKENX
KINGDOM BANK LTD,HEAD-OFFICE,CIFIKENA
M-ORIENTAL BANK LTD,HEAD-OFFICE,MORBKENA
MAYFAIR CIB BANK LIMITED,HEAD-OFFICE,MYBKKENA
MIDDLE EAST BANK KENYA LTD,HEAD-OFFICE,MIEKKENA
NATIONAL BANK OF KENYA LTD.,HEAD-OFFICE,NBKEKENX
NCBA BANK KENYA PLC,HEAD-OFFICE,CBAFKENX
PARAMOUNT BANK LIMITED,HEAD-OFFICE,PAUTKENA
PRIME BANK LTD.,HEAD-OFFICE,PRIEKENX
RAFIKI MICROFINANCE BANK,HEAD-OFFICE,RMFBKENA
SBM BANK (KENYA) LIMITED,HEAD-OFFICE,SBMKKENA
SIDIAN BANK LIMITED,HEAD-OFFICE,SIDNKENA
SPIRE BANK LTD,HEAD-OFFICE,SPBLKENA
STANBIC BANK KENYA LIMITED,HEAD-OFFICE,SBICKENX
STANDARD CHARTERED BANK KENYA LIMITED,HEAD-OFFICE,SCBLKENX
THE CO-OPERATIVE BANK OF KENYA LTD,HEAD-OFFICE,KCOOKENA
THE COMPANY FOR HABITAT AND HOUSING IN AFRICA (SHELTER - AFRIQUE),HEAD-OFFICE,SLTEKENA
UBA KENYA BANK LIMITED,HEAD-OFFICE,UNAFKENA
VICTORIA COMMERCIAL BANK LIMITED,HEAD-OFFICE,VICMKENA
