Bank,City,BIC
ABSA BANK KENYA PLC,Nairobi,BARCKENX
ACCESS BANK (KENYA) PLC,Nairobi,ABNGKENA
AFRICAN BANKING CORPORATION LTD,Nairobi,ABCLKENA
BANK OF AFRICA KENYA LTD,Nairobi,AFRIKENX
BANK OF BARODA (KENYA) LTD,Nairobi,BARBKENA
BANK OF INDIA,Nairobi,BKIDKENA
CARITAS MICROFINANCE BANK LIMITED,Nairobi,CRMFKENA
CENTRAL BANK OF KENYA,Nairobi,CBKEKENB
CENTRAL BANK OF KENYA,Nairobi,CBKEKENX
CENTRAL DEPOSITORY AND SETTLEMENT CORPORATION,Nairobi,CDSNKENA
CITIBANK N.A. NAIROBI,Nairobi,CITIKENA
CONSOLIDATED BANK OF KENYA LTD,Nairobi,CONKKENA
CREDIT BANK LIMITED,Nairobi,CRBTKENA
DEVELOPMENT BANK OF KENYA LIMITED,Nairobi,DEVKKENA
DIB BANK KENYA LTD,Nairobi,DUIBKENA
EASTERN AND SOUTHERN AFRICAN TRADE AND DEVELOPMENTBANK,Nairobi,ESATKENA
ECOBANK KENYA LTD,Nairobi,ECOCKENA
EQUITY BANK (KENYA) LIMITED,Nairobi,EQBLKENA
FAULU MICROFINANCE BANK,Nairobi,FAUMKENA
FAMILY BANK LIMITED,Nairobi,FABLKENA
FIRST COMMUNITY BANK LIMITED,Nairobi,IFCBKENA
GUARANTY TRUST BANK (KENYA) LTD,Nairobi,GTBIKENA
GUARDIAN BANK LIMITED,Nairobi,GUARKENA
GULF AFRICAN BANK LTD,Nairobi,GAFRKENA
HABIB BANK AG ZURICH,Nairobi,HBZUKENA
HFC LIMITED,Nairobi,HFCOKENA
I AND M BANK LTD,Nairobi,IMBLKENA
KCB BANK KENYA LIMITED,Nairobi,KCBLKENXTFS
KCB BANK KENYA LIMITED,Nairobi,KCBLKENXCUS
KENYA WOMEN MICROFINANCE BANK,Nairobi,KWMIKENX
KINGDOM BANK LTD,Nairobi,CIFIKENA
M-ORIENTAL BANK LTD,Nairobi,MORBKENA
MAYFAIR CIB BANK LIMITED,Nairobi,MYBKKENA
MIDDLE EAST BANK KENYA LTD,Nairobi,MIEKKENA
NATIONAL BANK OF KENYA LTD.,Nairobi,NBKEKENX
NCBA BANK KENYA PLC,Nairobi,CBAFKENX
PARAMOUNT BANK LIMITED,Nairobi,PAUTKENA
PRIME BANK LTD.,Nairobi,PRIEKENX
RAFIKI MICROFINANCE BANK,Nairobi,RMFBKENA
SBM BANK (KENYA) LIMITED,Nairobi,SBMKKENA
SIDIAN BANK LIMITED,Nairobi,SIDNKENA
SPIRE BANK LTD,Nairobi,SPBLKENA
STANBIC BANK KENYA LIMITED,Nairobi,SBICKENX
STANDARD CHARTERED BANK KENYA LIMITED,Nairobi,SCBLKENX
THE CO-OPERATIVE BANK OF KENYA LTD,Nairobi,KCOOKENA
THE COMPANY FOR HABITAT AND HOUSING IN AFRICA (SHELTER - AFRIQUE),Nairobi,SLTEKENA
UBA KENYA BANK LIMITED,Nairobi,UNAFKENA
VICTORIA COMMERCIAL BANK LIMITED,Nairobi,VICMKENA
BANCO BBVA ARGENTINA S.A.,BUENOS AIRES,BFRPARBA
BANCO DE VALORES,BUENOS AIRES,BAVAARBA
"ABN AMRO BANK N.V., SYDNEY BRANCH",SYDNEY,AAYBAU2S
AUSTRACLEAR LIMITED,SYDNEY,ACLRAU2S234
BANK OF BARODA,SYDNEY,BARBAU2S
BNP PARIBAS AUSTRALIA,SYDNEY,BNPAAU2S
CORPORATE ALLIANCE GROUP PTY LTD,CHATSWOOD,CPTCAU22
HSBC BANK AUSTRALIA LIMITED,BRISBANE,HKBAAU2SBNE
LINK FUND SOLUTIONS PTY LIMITED,SYDNEY,WHTEAU2S
NATIONAL AUSTRALIA BANK LIMITED,MELBOURNE,NATAAU33
SOUTH32 LIMITED,PERTH,STHHAU4B
Addiko Bank AG,Wien,HSEEAT2K
Bank fuer Tirol und Vorarlberg AG,St. Johann,BTVAAT22STJ
Erste Bank der oesterreichischen Sparkassen AG,ATZENBRUGG,GIBAATWWTU1
Erste Group Bank AG,Wien,GIBAATWWTUL
Oberbank AG,Bad Ischl,OBKLAT2LBDI
OeKB CSD GmbH,Wien,OCSDATW2
Raiffeisen Regionalbank Fuegen-Kaltenbach-Zell eGen,Fuegen,RZTIAT22229
Raiffeisenbank Bodensee-Leiblachtal eGen,Hard (Vbg.),RVVGAT2B439
Raiffeisenbank Groedig eGen,Groedig,RVSAAT2S018
AB BANK LIMITED,BOGRA,ABBLBDDH201
AGRANI BANK LIMITED,DHAKA,AGBKBDDH001
AL-ARAFAH ISLAMI BANK LTD.,SYLHET,ALARBDDH070
BANK ASIA LTD,DHAKA,BALBBDDH015
DHAKA BANK LIMITED,SYLHET,DHBLBDDH301
EXPORT IMPORT BANK OF BANGLADESH LTD,CHITTAGONG,EXBKBDDH026
ICB ISLAMIC BANK LIMITED,DHAKA,BBSHBDDH025
ISLAMI BANK BANGLADESH LTD,DHAKA,IBBLBDDH342
ISLAMI BANK BANGLADESH LTD,NILPHAMARI,IBBLBDDH152
ABE CLEARING SAS/EBA CLEARING,BRUSSELS,EBAKBEBB
BANQUE ENI S.A.,BRUSSELS,ENIBBEBB
BNP PARIBAS FORTIS (FORTIS BANK SA/NV),LA LOUVIERE,GEBABEBB06A
CBC BANQUE S.A.,BRUSSELS,CREGBEBBTGT
EUROCLEAR BANK S.A / N.V,BRUSSELS,MGTCBEBET07
EUROCLEAR BANK S.A / N.V,BRUSSELS,MGTCBEBET21
EUROCLEAR BELGIUM (PREVIOUSLY KNOWN AS CIK BELGIUM),BRUSSELS,CIKBBEBBEA3
JPMORGAN CHASE BANK - BRUSSELS BR,BRUSSELS,MGTCBE2H
RBC INVESTOR SERVICES BELGIUM,BRUSSELS,DXFSBEBB
ACLA BANK,BRASILIA,ADTVBRDF
BANCO BRADESCO SA (FORMERLY KIRTON BANK S.A. - BANCO MULTIPLO),CAMPINAS,BCBBBRPRCAS
BANCO DO BRASIL S.A.,CAMPINAS,BRASBRRJCAS
BANCO ORIGINAL S.A.,SAO PAULO,BORIBRSP
DEUTSCHE BANK S.A. - BANCO ALEMAO,SAO PAULO,DEUTBRSPCUS
TRUSTEE INVESTMENTS S/A,SAO PAULO,TRUIBRS2
ALLIANZ BANK BULGARIA AD,SOFIA,BUINBGSF
ALLIANZ BANK BULGARIA AD,SOFIA,BUINBGSF
AGF INVESTMENTS INC.,TORONTO,AIVVCATT
BRITISH COLUMBIA INVESTMENT MANAGEMENT CORPORATION,VICTORIA,BCVMCA8G
DIGITAL COMMERCE BANK,CALGARY,DIEECA66
JIM PATTISON LTD.,VANCOUVER,JPGCCA8V
PAYSIMPLE FINANCIAL INC,VANCOUVER,PYFICA82
SOCIETE GENERALE (CANADA),MONTREAL,SOGECAMM
SS AND C TECHNOLOGIES CANADA CORP,MISSISSAUGA,FMCCCATMGOO
THE BANK OF NOVA SCOTIA,TORONTO,NOSCCATTTL7
ADMINISTRADORA DE FONDOS DE PENSIONES PROVIDA S.A.,SANTIAGO,AFPPCLR2
MONEDA S.A. ADMINISTRADORA GENERAL DE FONDOS,SANTIAGO,MAGDCLRM
"AGRICULTURAL BANK OF CHINA, THE",BEIJING,ABOCCNBJ191
"AGRICULTURAL BANK OF CHINA, THE",YINCHUAN,ABOCCNBJ290
"AGRICULTURAL DEVELOPMENT BANK OF CHINA, THE",JINGZHOU,ADBNCNBJJZ1
"AGRICULTURAL DEVELOPMENT BANK OF CHINA, THE",WUHAN,ADBNCNBJWH1
BANCO DO BRASIL SHANGHAI,SHANGHAI,BRASCNSH
BANK OF CHINA,CHANGCHUN,BKCHCNBJ85A
BANK OF CHINA,JINAN,BKCHCNBJ500
BANK OF CHINA,URUMQI,BKCHCNBJ760
BANK OF COMMUNICATIONS,BOZHOU,COMMCNSHBOZ
ADDIKO BANK D.D.,ZAGREB,HAABHR22
ZAGREBACKA BANKA DD,SIBENIK,ZABAHR2XSIB
AIR BANK A.S.,PRAGUE,AIRACZPP
PAYMENT EXECUTION S.R.O.,PRAGUE,PAERCZPPGEN
A.P. MOLLER-MAERSK,COPENHAGEN,APMMDKKK
DANSKE BANK A/S,GLOSTRUP,DABADKKKGLO
DJURSLANDS BANK A/S,HORNSLET,DJURDK22HSL
LUNAR BANK A/S,AARHUS,LUNADK22
NORDEA INVESTMENT MANAGEMENT AB DENMARK BRANCH,COPENHAGEN,NDEADKK3P90
SYDBANK A/S,KOLDING,SYBKDK22KOL
VP SECURITIES A/S,COPENHAGEN,VPDKDKKK083
ABU DHABI COMMERCIAL BANK - EGYPT,ALEXANDRIA,UNBEEGCXMAI
ALBARAKA BANK EGYPT,10TH OF RAMADAN,ABRKEGCAASH
ARAB AFRICAN INTERNATIONAL BANK,CAIRO,ARAIEGCXASH
ARAB INTERNATIONAL BANK,CAIRO,ARIBEGCXLBR
BANQUE DU CAIRE,ASWAN,BCAIEGCX660
BANQUE DU CAIRE,CAIRO,BCAIEGCX055
BANQUE DU CAIRE,SHARQIA,BCAIEGCX550
BLOM BANK EGYPT S.A.E.,CAIRO,MRBAEGCX029
CITIBANK N.A. - CAIRO BRANCH,CAIRO,CITIEGCXTRD
AKTIA BANK P.L.C.,HELSINKI,HELSFIHH
NORDEA BANK ABP,HELSINKI,NDEAFIHHIPL
SUOMEN PANKKI - FINLANDS BANK,HELSINKI,SPFBFIHHASI
(GROUPE) ASTEK S.A.,BOULOGNE BILLANCOURT,GASKFRPP
ALSTOM HOLDINGS,SAINT-OUEN-SUR-SEINE,ALHOFRPP
BANCO BILBAO VIZCAYA ARGENTARIA,PARIS,BBVAFRPPBDF
BANQUE CENTRALE DE COMPENSATION LCH.CLEARNET SA,PARIS,BACPFRKA
BANQUE DE FRANCE,PARIS,BDFEFR2T179
BANQUE DE FRANCE,PARIS,BDFEFR2TFI2
BANQUE POPULAIRE GRAND OUEST,RENNES,CCBPFRPPNAN
BNP PARIBAS SECURITIES SERVICES,PARIS,PARBFRCB
"BNP PARIBAS SECURITIES SERVICES, FRANCE",PARIS,PARBFRPP756
360 TREASURY SYSTEMS AG,FRANKFURT AM MAIN,TRSYDEFF
ALLIANZ LEBENSVERSICHERUNGS AG,STUTTGART,ALLVDESL
BADEN-WUERTTEMBERGISCHE BANK (TRADING AS LANDESBANK BADEN-WUERTTEMBERG),HERRENBERG,SOLADEST603
BANK FUER SOZIALWIRTSCHAFT AG,KOELN,BFSWDE33
"BAYERISCHE LANDESBANK, MUENCHEN",MUENCHEN,BYLADEMMCLS
"BNP PARIBAS SECURITIES SERVICES, GERMANY",FRANKFURT AM MAIN,PARBDEFFBAP
"BNP PARIBAS SECURITIES SERVICES, GERMANY",FRANKFURT AM MAIN,PARBDEFFTG1
"CACEIS BANK, GERMANY BRANCH",MUENCHEN,FMBKDEMM819
CLEARSTREAM BANKING AG,ESCHBORN,DAKVDEFF720
ABSA BANK OF GHANA LIMITED,ACCRA,BARCGHAC
UNITED BANK FOR AFRICA (GHANA) LTD,ACCRA,STBGGHAC
AB INTERNATIONAL FINANCE LTD,TSIM SHA TSUI,ABFLHKHH
BANK OF MONTREAL,CENTRAL,BOFMHKHHGTB
CHINA CONSTRUCTION BANK (ASIA) CORPORATION LIMITED,CENTRAL,CCBQHKAXCUS
CREDIT AGRICOLE SECURITIES (ASIA) LIMITED,ADMIRALTY,AGRIHKHS
"GUOSEN SECURITIES (HK) BROKERAGE CO.,LTD",ADMIRALTY,GSHKHKHH
